line_1,line_2,line_3
sleep disorder,the gas station lights,keep me company
the half-truths,in a well-lit room,midnight's rain
first morning,the marks of a moth,in old laundry
a lamb's cry,scudding clouds over,the cemetery wall
train whistle,a blackbird hops,along its notes
Valentine's Day,my wife reads up,on Henry VIII
zombie debt-,the practised slice,of a bread knife
woodfire,flickering in the silence,corralled horses
thunder snow,the wind-shifting scent,of fox
Gare du Nord,the slow change of snow,on fake fur
fighting illness-,the darkness before the light,of the new year
bag of beer,snail trails leave it,from all directions
sunday lunch,the chatter of children,among hard drinkers
the night train passes,along the mountain trail,garlic snores
the rain,almost a friend,this funeral
tired new mom -,brown leaves,falling from the green trees
baby's got two months,"in the forest, all is new",to my eyes
curly morning clouds,half round,the moon and me
my childhood room,slow movements of the ladybug,covered in dust!
sunny spell,so sensual the necks,of daffodils
how can he love so much?,warm evening light,on the waving dog's tail
frosty grass,the horse's neck already,in the sun
April thunderstorm,at the feet of the statues of queens of France,flowers of chestnut trees
October full moon,on the rails --,hot wind
a child scan,the mutilated face --,sound of crate
silence,the moon breaks through,the firework smoke
another test,another doctor visit,long winter nights
two moons,on August 27th,Mother's birthdate
saw grass--,bluebottles teeming,on a white skull
late afternoon--,the first cow,heads to the barn
porn shop-,the graying clerk reads,Hegel
cold snap-,her pause before,each tulip
Coltrane,two floors up...floats,out a window
her hair,brushed with moonlight...,forty years ago
molten by a morning sun,frozen cranes take wing,one by one
not breathing,Japanese cranes,pausing in the snow
a hundred thousand spectators,three laureates,a moth
flooded paddies,floating rice shoots -,relentless rain
unmown grass,in the cemetery -,lighting bugs
the colour of wind,through pine trees,must be blue
lighthouse,above the sound,silence
cancer ward -,a yellow woman,applies lipstick
mother daughter,lunch,storm and thunder
laundry encounter,a plastic shark,falls out of a bath towel
seven samurai' *,half the village burning,while my son makes popcorn
wild fires,in the mist,the ashes
grandfather's grave,just another stone,for the dragonfly
a sleepless hour,first the geese,then the train
fall clock,the deer by the pond,an hour earlier
morning troubles,it starts with a dead cricket,in the spider web
cotton fields,the only white left,is the snow
half moon,mom's birthday,without mom
eclipse,the path of the sun,blocked by billboards
ring around the moon,I remember parts,of a nursery rhyme
empty bleachers,a late night fog,takes the field
butterfly on the windshield,another journey,incomplete
early summer,the ice cream truck,makes another round
old cottonfields,a long time,between snows
harmonica player,he cups the cold,in his hands
our anniversary,so many candle flames,in the mirror
new gravesite,the persistent taps,of a woodpecker
emergency broadcast,we head for the storm cellar,with a bottle of wine
late spring,each clock in the house,shows a different time
leaving home,the warmth still inside,my freshly ironed shirt
gray drizzle,for miles and miles,this road I'm on
liberty market,one free pickle,from the barrel
christmas album,every year he wears,the same flannel shirt
murmur of rain,hard to catch the words,when he talks in his sleep
moonless night,a spoonful of darkness,stirring my tea
bullfrog chorus,one a little louder,than the rest
failed copy,the real iris bluer,than the photograph
sad news,the blur of reading,through tears
summer haze,the thin gauze,of her white dress
pale legs,under a white moon~,shivering aspen
beach house,a bit of sand,in my tea
dark lamp shade--,squinting her eyes in low light,to read your letter
tuesday sunrise,spilling grains of sugar,in my black tea
bitter quarrel,the lingering taste,of too many aspirin
last train,a woman's scent,in a lost scarf
cello music,cold creeps under,the kitchen door
prairie motel,from my window,stars and fireflies
after the wave ---,the grade crossing rings,for nobody
ginger hair on the mud,all thatÂ  remains,of a fox dream
autumn storm --,the moth,stuck at the window
glances ...,across the river,the heron and me
autumn night --,the animal cried a long time,in the garden
traffic jam,high in the sky,a heron flies by
autumn storm,in the computer room,servers purr
drizzle this morning,islands drowned in the mist,red lights of the bridge
warm rain,"smells of tar, dirt,",and snails
a dew drop,full,of autumn light
heavy leaves,in the evening rain,heaps of darkness
air-raid alarm --,traffic lights are working,for no one
persimmon tree,mallards drink in,its reflection
migratory pelicans...,the pollster presses,for an opinion
crescent moon,a young mockingbird,with its one song
fever dream,a bird chirps the refrain,from the latin mass
first frost,another wish,goes on their list
first frost,why did I never,plant evergreens?
harvest days--,a fat toad,leaves the garden
the coming rain--,bird calls echo,along the creek
early spring,pallets of fertilizer,on the loading dock
steeping tea--,no more or less,of the thin snow
first snow--,a dusting of flour,in the cake pans
cinco de mayo--,I walk downhill to watch,the moon rise again
spring storm--,overripe bananas,in the kitchen
evening thunder--,robin calls echo,across the park
the barn doors open--,dry leaves sweep,into the muddy yard
passing monarchs --,a few leaves flutter,to the road
cicadas,at twilight,finally it rains
summer's end,an orange sunset,crayoned on the wall
evening walk,same flickering glow,house to house
between Lake Erie,and the nuclear station,fireflies
the whole sky,for the Sunday painter,-- before thunderstorm
Ancient book,History of allergies,Sneezes
Hypermarket,at the perfume counter,Smell of leek
Carnival,Met in the stairs,Spiderman
broken bus shelter,the top model escapes,glass splinters
Armistice,He polishes the lion,of bronze
Restauration,brought back from Versailles,Nail in soles
no more war,two fighting beetles,on a tombstone
near the wall,of the cemetery,a condom
during the vigil,a withered flower,on the tiled floor
a gull gliding,out of the cloud's shadow -,suddenly white
freight train,a load of snow,going south
a chill ~,just before the drizzle,wind chime notes
rail track,amidst the corn fields,bisected infinity
chasing bubbles,near the floating moon,a paper boat
dusty haze,at the sunrise time,a yellow rose
daylight,in the winter haze,a faint birdsong
morning fog,my new dahlias too,look so faded
apple slices-,our last words,in the knife's blade
The New Millenium,brought to my window,two new icycles
concert under the stars --,a drop of sweat lost,in her dÃ©colletage
apple harvest,how my hands,have ripened
autumn melancholy,the click of mahjong tiles,from the computer
May clouds,new names and dates,in the family book
apricot blossoms,the birth of our first,granddaughter
blades of grass,between the flagstones ...,Easter afternoon
Monday moon,the bent backs,of rice farmers
spring morning,finding an old flame,on Facebook
summer traffic,"four cars, a tractor",and the full moon
winter night,too many stars,above Gaza
wall-to-wall clouds,and the hum of flies,summer dust
dead-end road,at the edge of the field,a new-born calf
harvest moon,the sound of women,pounding rice
winter evening,a teacup of mint,and moon
half moon,on the river the sound,of cracking ice
falling snow ...,she brings his urn closer,to the window
attractive,even in red,an oak leaf
autumn mist...,what is she doing now,my mother?
September rain ...,unaware of any pain,a peach falls
old temple,but all my prayers,are new
murmurings,in the old temple,summer wind
summer rain ...,drinking tea to the cadence,of falling leaves
warm afternoon,a fly with nowhere,to go
flat moon ...,an aspirine tablet and a,glass of water
the teacup,as empty as,my evening
a teacup,to fill,my afternoon
my day,measured out,in teaspoons
November moon,the last ball of cheese,in the fridge
Those stars.,No more fish,in the bay.
harvest moon,i gather my thoughts,for winter
first spring snow,I release my soul in,my first yoga class
free floating,a tide full of shell fragments,and fireworks
morning glories,find their way to the sun,on barbed wire
at half-mast,a butterfly passes by,the still flag
empty sky,she turns love letters,into wings
in winter's wind,the call of a friend,who now has cancer
sunrise,the orange glow,of birdsong
the old quarry,blooms Fire Weed,out of rubble
sheltered from the wind,in granite fissures,coltsfoot
isolation,the Hawthorn tree,flowers in silence
night rain,the steady drip,of morphine
blossom...,the sound of birdsong,fills the silence
honeysuckle breeze,someone honks when,the light turns green
I wake beside,my daughter's sick bed,a howling dog
night of meteorites --,enjoying the sound of rain,instead
winter window,closed to the cold -,purple orchid
Tonights light rainfall,Wraps me in soft silence,On my short walk home
no wind,in the wheat,autumn equinox
my same walk,in reverse,autumn equinox
biking downhill,an Amish girl with bonnet straps,clenched in her teeth
Good Friday . . .,digging a grave,for this seed
tea for one . . .,the prolonged scream,of the kettle
Valentine's Day,a stock girl takes home,the petal-less orchid
